name,slug,city_slug,category_slug,address,phone,website,rating,reviews,latitude,longitude,short_description,description,photo,google_maps_link,place_id
Maddens Bar & Grill Antrim,maddens-bar-grill-antrim-antrim,antrim,pubs,"County, 51-53 High St, Antrim BT41 4AY",+44 28 9446 2177,http://maddensbarantrim.co.uk/,4.5,519,54.71466299999999,-6.219948,"Pub, Bar, Beer garden, Function room facility, Irish pub, Live music venue, Nightclub, Bar & grill, Restaurant, Sports bar",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoGXBXprF4q5KkUw_wd7LI5qrA8Z1JsOx_mJ8Qwp1sxKwg_sbopZxYWcisWEcBqtBIjHW-siaqSFCZQ_q5X2Kayva4EmI6eAt4Ys4GyJnD056f5AkEPWPUJqcMyV7_GxqQQYpw=w800-h500-k-no,"https://www.google.com/maps/place/Maddens+Bar+%26+Grill+Antrim/@54.714662999999994,-6.219948,14z/data=!4m8!1m2!2m1!1sMaddens+Bar+%26+Grill+Antrim!3m4!1s0x4861aca7705afbcd:0x86d1b701f74c0825!8m2!3d54.714662999999994!4d-6.219948",ChIJzftacKesYUgRJQhM9wG30YY
Top of the Town,top-of-the-town-antrim,antrim,bars,"77 Fountain St, Antrim BT41 4BG",+44 28 9442 8146,http://www.topofthetown.co.uk/,4.5,2033,54.7135283,-6.2082582,Bar & grill,"Family-friendly place offering a wide range of comfort food & drinks for breakfast, lunch & dinner.",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerZcjz7v5VDNbDyvIdXzfE1POQDUHSwjHC9wZAvpTC_JUyDa3AvvawBgEYE3K4s7GQpisGzuabjSWxZJu9bqzHiZFXDkbPS8nKj9ndepD1ThxXiOzCdYiKHJx3SNu9D4X0kfDf8=w800-h500-k-no,"https://www.google.com/maps/place/Top+of+the+Town/@54.7135283,-6.2082581999999995,14z/data=!4m8!1m2!2m1!1sTop+of+the+Town!3m4!1s0x4861ab5f8d6c7623:0x47c9aa7d43d5ad55!8m2!3d54.7135283!4d-6.2082581999999995",ChIJI3ZsjV-rYUgRVa3VQ32qyUc
Railway Bar,railway-bar-antrim,antrim,pubs,"24 Railway St, Antrim BT41 4AE",+44 28 9442 8405,http://www.whelan.co.uk/,4.2,45,54.7153467,-6.2166253,Pub,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepKxqvdTG7dCRA7mDu-aloPOikE271zuHX_A6CEGo0znx6U0ajX_O-9eIg7u9Uwq-oDAyDuMRbqAF8hruSSHF1_BeyW4aTSE2DelPnnbz8kmAA7chNV6Xx1BiQiA3RCtbuN1ksz9A=w800-h500-k-no,"https://www.google.com/maps/place/Railway+Bar/@54.7153467,-6.2166253,14z/data=!4m8!1m2!2m1!1sRailway+Bar!3m4!1s0x4861aca0b58b3251:0x63d72c33a00dc93a!8m2!3d54.7153467!4d-6.2166253",ChIJUTKLtaCsYUgROskNoDMs12M
Rococo Wine Bar Antrim,rococo-wine-bar-antrim-antrim,antrim,pubs,"10-16 Castle St, Antrim BT41 4JE",+44 28 9446 3122,https://www.rococorestaurants.co.uk/,4.4,684,54.7183028,-6.219724299999999,"Pub, Cocktail bar, Gastropub, Wine bar",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweph3VWdnu_BNRBQ3a9NxmCalD0yqDwPmCchaY-jsIz_fB5d3xm7ujXsDotCcwUVvKj6VRwqb-dsinvOCnHrG8GMvdDZyC71hm1caqlJtzPDer6B2Mb92f88mbuUg8efh9j7V2Zl=w800-h500-k-no,"https://www.google.com/maps/place/Rococo+Wine+Bar+Antrim/@54.7183028,-6.219724299999999,14z/data=!4m8!1m2!2m1!1sRococo+Wine+Bar+Antrim!3m4!1s0x4861aca661c787fb:0x46ce0430d236b9e0!8m2!3d54.7183028!4d-6.219724299999999",ChIJ-4fHYaasYUgR4Lk20jAEzkY
The Steeple Inn,the-steeple-inn-antrim,antrim,pubs,"11 High St, Antrim BT41 4AX",+44 28 9442 8527,,4.3,60,54.7141944,-6.2185036,Pub,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweom2vQkfZ5O6wJbERrhMK1YSbnH8SrGpoCg9LxdsKb4FojrQrS2zpxpTGiqd7RdPF0hpl7RRThAHXeLJz4vjWVe5nqRHoH42foTybKTw-6RfAO3m2-r6TqY6LACoHEE4hvp0B8=w800-h500-k-no,"https://www.google.com/maps/place/The+Steeple+Inn/@54.7141944,-6.2185036,14z/data=!4m8!1m2!2m1!1sThe+Steeple+Inn!3m4!1s0x4861aca75dc39e43:0x11c34eb4b7eb4ea1!8m2!3d54.7141944!4d-6.2185036",ChIJQ57DXaesYUgRoU7rt7ROwxE
The Stone Hound,the-stone-hound-antrim,antrim,bars,"The Junction Retail Park, 111 Ballymena Rd, Antrim BT41 4LL",+44 28 9441 1083,https://www.thestonehound.co.uk/,4.6,496,54.72867859999999,-6.226511899999999,Bar,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqMw9jesGinQd9Nt1t6tzWfZqqcXnums2MoaBDTY_Bj6ng-ptnasaNhKTC1wlzosrAAQPOK3lTu2dW6MlAwzF0IzFPlspchJbVN8DflZmuBmzCXSZISS87c7Pnq_2uVPI6lWg7QrARGM0k=w800-h500-k-no,"https://www.google.com/maps/place/The+Stone+Hound/@54.728678599999995,-6.226511899999999,14z/data=!4m8!1m2!2m1!1sThe+Stone+Hound!3m4!1s0x4861ad000078a5e7:0x2dcc670ff6631ba0!8m2!3d54.728678599999995!4d-6.226511899999999",ChIJ56V4AACtYUgRoBtj9g9nzC0
McLarnons Ramble Inn,mclarnons-ramble-inn-antrim,antrim,pubs,"236 Lisnevenagh Rd, Antrim BT41 2JT",+44 28 9442 8888,https://www.mclarnonsrambleinn.com/,4.5,1560,54.7620519,-6.2427117,"Pub, Restaurant","Classic pub grub, including breakfast in 16th-century inn with exposed beams and minstrels' gallery.",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqhXdH8qgpwczNGc_5za-vpp0qEMYFUfOWioKT5QO0cVg5z8uCNjJPAyONOUST5DXaL-6BJgj39pWse1SEGds9CUzmhyvpH8lrQdz-rBxitJuAht16Lo6zAPEwGXfuSLg76wu6UIQ=w800-h500-k-no,"https://www.google.com/maps/place/McLarnons+Ramble+Inn/@54.762051899999996,-6.2427117,14z/data=!4m8!1m2!2m1!1sMcLarnons+Ramble+Inn!3m4!1s0x4861ad315e0c3b87:0x3c3a39e6275e50b3!8m2!3d54.762051899999996!4d-6.2427117",ChIJhzsMXjGtYUgRs1BeJ-Y5Ojw
Mulligans Bar and grill,mulligans-bar-and-grill-antrim,antrim,restaurants,"45 Castle Rd, Antrim BT41 4NA",+44 7724 683150,https://www.mulligansbarandgrill.co.uk/,4.9,116,54.7264025,-6.247587999999999,Restaurant,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerL4-UOjfcaPFvWHngSQGZcKEhF-lhDfe2i7ChZfaYUeuDAcVjCS3LIJlVE0joZpHo1b6qp9u0iyc5LqPO046zC3zUbqaRL__En8PB6FygaBRRzUsOTkZAsFnsBoDepSkYhwVkw3Q=w800-h500-k-no,"https://www.google.com/maps/place/Mulligans+Bar+and+grill/@54.7264025,-6.2475879999999995,14z/data=!4m8!1m2!2m1!1sMulligans+Bar+and+grill!3m4!1s0x4860530b92efac1b:0x7699a43b252af051!8m2!3d54.7264025!4d-6.2475879999999995",ChIJG6zvkgtTYEgRUfAqJTukmXY
The Bridge End Bar,the-bridge-end-bar-antrim,antrim,bars,"19 Bridge St, Antrim BT41 4DA",+44 28 9446 0663,https://thebridgeendbar.com/,4.3,520,54.7133268,-6.2195972,"Bar & grill, Bar, Restaurant or cafe",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoACTpmnrIra73Bwz_eYhfzt-4ruBT2ijYZ3E844f1qp0wTRuORE11MXUugmdgWviv0AckLNcU0Ivpg0WKK_8vfdkN8Aag_yXfWdpI1hpOWVwZwcsyC7GO5-i8uVbZOCyWn4Ou6Ng=w800-h500-k-no,"https://www.google.com/maps/place/The+Bridge+End+Bar/@54.7133268,-6.2195972,14z/data=!4m8!1m2!2m1!1sThe+Bridge+End+Bar!3m4!1s0x4861aca7654b5525:0xc7b73aa9f3d55e3b!8m2!3d54.7133268!4d-6.2195972",ChIJJVVLZaesYUgRO17V86k6t8c
Barney's,barneys-antrim,antrim,pubs,"19 Market Square, Antrim BT41 4AW",+44 28 9446 6966,,4.5,85,54.7150201,-6.221162,Pub,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwequaluoK4fFlR3EzFMtFEzmhHYjVizLo3CPBKvFaBYvMgIgzGH6Ojt4gSLqJrNX2T5iORQvs3EtK_sgC_xmMzo9NdFE5yzmtFanmu24Tw_kS2dT6QFS4QEYmLW5rRiN1f6a6r-o=w800-h500-k-no,"https://www.google.com/maps/place/Barney%27s/@54.7150201,-6.221162,14z/data=!4m8!1m2!2m1!1sBarney%27s!3m4!1s0x4861aca79ed8038f:0x6255cb8a4347d0a8!8m2!3d54.7150201!4d-6.221162",ChIJjwPYnqesYUgRqNBHQ4rLVWI
